機種名, センサーサイズ, 有効画素（万画素）, 最高ISO（標準）, 液晶モニタ大きさ（インチ）, 液晶モニタドット（万）, 液晶モニタ（タイプ）, ファインダー倍率, 防塵防滴,手ブレ補正, タッチパネル, 位相差AF検出点,コントラストAF検出点, 連写（コマ/s）, 重量(g)
a7II,1,2430,25600,3,122.88,2,0.71,1,1,0,117,25,5,556
a7III,1,2420,51200,3,92.16,2,0.78,1,1,1,693,425,10,565
a7rIII,1,4240,32000,3,144,2,0.78,1,1,1,399,425,10,572
a7rIV,1,6100,32000,3,144,2,0.78,1,1,1,567,425,10,580
a9,1,2420,51200,3,144,2,0.78,1,1,1,693,25,11,588
a9II,1,2420,51200,3,144,2,0.78,1,1,1,693,425,20,593
a7SII,1,1220,102400,3,122.88,2,0.78,1,1,0,0,169,5,584
X-T3,2,2610,12800,3,104,2,0.75,1,0,1,425,425,30,489
X-T30,2,2610,12800,3,104,2,0.62,0,0,1,425,425,30,333
X-Pro2,2,2430,12800,3,162,1,0.6,1,0,0,325,325,8,445
X-H1,2,2430,12800,3,104,2,0.75,1,1,1,325,325,14,623
X-E3,2,2430,12800,3,104,1,0.62,0,0,1,325,325,14,287
X-T100,2,2424,12800,3,104,2,0.62,0,0,1,91,91,6,399
X-A5,2,2424,12800,3,104,2,0,0,0,1,91,91,6,311
